"Name","Entry","Match","IsExact","Found","LL","ID","Item"
"Metro Arts Commission ","800 2nd Ave S, Nashville, Tennessee, 37210","Match","Exact","800 2nd Ave S, NASHVILLE, TN, 37210","-86.77015,36.154194","97188461","L"
"LoveNoise ","152 2nd Ave, Nashville, Tennessee, 37201","Tie"
"Zycron ","413 Welshwood Dr., Nashville, Tennessee, 37211","Match","Exact","413 Welshwood Dr, NASHVILLE, TN, 37211","-86.72807,36.082436","97197183","R"
"Meharry ","1005 Dr D.B. Todd Jr Blvd., Nashville, Tennessee, 37205","Match","Non_Exact","1005 Dr Db Todd Jr Blvd, NASHVILLE, TN, 37208","-86.80564,36.166973","97185697","R"
"Knowledge Academies ","5320 Hickory Hollow Pkwy,, Antioch, Tennessee, 37103","Match","Non_Exact","5320 Hickory Hollow Pkwy, ANTIOCH, TN, 37013","-86.65454,36.046303","97223184","L"
"Belmont","1900 Belmont Blvd, Nashville, Tennessee, 37212","Match","Exact","1900 Belmont Blvd, NASHVILLE, TN, 37212","-86.79575,36.133995","97190600","L"
"Girls on the Run ","1451 Elm Hill Pike # 110, Nashville, Tennessee, 37210","Match","Exact","1451 Elm Hill Pike, NASHVILLE, TN, 37210","-86.725266,36.14388","97196380","R"
"NAACP of Nashville ","1308 Jefferson St., Nashville, Tennessee, 37208","Match","Exact","1308 Jefferson St, NASHVILLE, TN, 37208","-86.799995,36.171154","606370240","R"
"Organization","Address, City, State, Zipcode ","No_Match"
"100 Black Men ","301 Donelson Pike, Nashville, Tennessee, 37214","Match","Exact","301 Donelson Pike, NASHVILLE, TN, 37214","-86.664604,36.158947","97196042","L"
"Watson Grove Missionary Baptist Church","1415 Horton Ave, Nashville, Tennessee, 37212","Match","Exact","1415 Horton Ave, NASHVILLE, TN, 37212","-86.79012,36.14028","617928216","L"
"School Board, District 5","421 Fisk Street, Nashville, Tennessee, 37203","Match","Exact","421 Fisk St, NASHVILLE, TN, 37203","-86.79955,36.15914","606829309","L"
"At-Large 4 Council Member District 1"," One Public Square,Suite 204, Nashville, Tennessee, 37219","No_Match"
"Urban League of Middle Tennessee ","50 Vantage Way Suite 201, Nashville, Tennessee, 37208","No_Match"
"TSU ","3500 John A Merritt Blvd, Nashville, Tennessee, 37209","Match","Exact","3500 John A Merritt Blvd, NASHVILLE, TN, 37209","-86.82855,36.166924","97184744","R"
"National Museum of African-American Music ","618 Church St, Suite 130, Nashville, Tennessee, 37210","Match","Non_Exact","618 Church St, NASHVILLE, TN, 37203","-86.781685,36.162594","97187924","R"
"Beech Creek","310 Curtis st, Nashville, Tennessee, 37218","No_Match"
"The International Black Film Festival ","1451 Elm Hill Pike, Ste 315, Nashville, Tennessee, 37210","Match","Exact","1451 Elm Hill Pike, NASHVILLE, TN, 37210","-86.725266,36.14388","97196380","R"
"Vanderbilt ","2201 West End Ave, Nashville, Tennessee, 37235","Match","Non_Exact","2201 W End Ave, NASHVILLE, TN, 37240","-86.804146,36.14903","97212821","L"
"New Convenant Christian Church","2201 Osage St, Nashville, Tennessee, 37208","No_Match"
"Nashville Black Lives Matters and Ray of Hope Church ","901 Meridian St., Nashville, Tennessee, 37208","Match","Non_Exact","901 Meridian St, NASHVILLE, TN, 37207","-86.76803,36.187023","97187646","R"
"Lipscomb ","1 University Park Dr., Nashville, Tennessee, 37204","No_Match"
"Entreprenership Center ","41 Peabody st, Nashville, Tennessee, 37210","Match","Exact","41 Peabody St, NASHVILLE, TN, 37210","-86.769226,36.158012","97231530","L"
"Nashville Chamber of Commerce","211 Commerce st Suite 100, Nashville, Tennessee, 37201","Match","Exact","211 Commerce St, NASHVILLE, TN, 37201","-86.77646,36.163067","606407529","L"
"Pearl Cohn ","904 26th Ave N, Nashville, Tennessee, 37208","Match","Exact","904 26th Ave N, NASHVILLE, TN, 37208","-86.81611,36.16474","606391516","R"
"Homework Hotline ","4805 Park Ave, Nashville, Tennessee, 37209","Match","Exact","4805 Park Ave, NASHVILLE, TN, 37209","-86.84479,36.15098","97179275","L"
"Nashville Public Library ","615 Church St, Nashville, Tennessee, 37219","Match","Exact","615 Church St, NASHVILLE, TN, 37219","-86.781624,36.16259","97187924","L"
"MERP Agency ","2543 Lebanon Pike, Nashville, Tennessee, 37214","Match","Exact","2543 Lebanon Pike, NASHVILLE, TN, 37214","-86.67838,36.169525","97195899","R"
"Avenue Bank ","111 10th , Suite 400, Nashville, Tennessee, 37203","No_Match"
"American Baptist College ","1800 Baptist World Center Dr., Nashville, Tennessee, 37207","Match","Exact","1800 Baptist World Center Dr, NASHVILLE, TN, 37207","-86.78922,36.203182","97184435","L"
"The Tennessee Charter School Center","Cummins Station, 209 10th Ave S, Nashville, Tennessee, 37203","No_Match"
"Molette Investment Services","1506 Church st Suite 131, Nashville, Tennessee, 37203","Match","Exact","1506 Church St, NASHVILLE, TN, 37203","-86.79301,36.157253","97186286","R"
"Maplewood","401 Walton Lane, Nashville, Tennessee, 37216","No_Match"
"MAM","16th and Buchanan, Nashville, Tennessee, ","No_Match"
"MNPS","2601 Bransford Avenue, Nashville, Tennessee, 37204","Match","Exact","2601 Bransford Ave, NASHVILLE, TN, 37204","-86.765564,36.1217","97192030","R"
"Fisk "," 1000 17th Ave N, Nashville, Tennessee, 37208","No_Match"
"Tennessee Tribune ","1501 Jefferson St., Nashville, Tennessee, 37208","Match","Exact","1501 Jefferson St, NASHVILLE, TN, 37208","-86.80237,36.17052","606818638","L"
"Olive Branch ","1115 Minerva Dr., Murfreesboro, Tennessee, 37130","Match","Exact","1115 Minerva Dr, MURFREESBORO, TN, 37130","-86.36488,35.826138","59016032","R"
"Nashville Black Chamber ","4322 Harding Pike #417., Nashville, Tennessee, 37205","Match","Exact","4322 Harding Pike, NASHVILLE, TN, 37205","-86.84601,36.126163","624023753","R"
"Pencil Foundation","4805 Park Ave, Suite 101, Nashville, Tennessee, 37209","Match","Exact","4805 Park Ave, NASHVILLE, TN, 37209","-86.84479,36.15098","97179275","L"
"In Full Motion ACT Prep ","4121 Clarksville pike, Nashville, Tennessee, 37218","Match","Exact","4121 Clarksville Pike, NASHVILLE, TN, 37218","-86.83796,36.214973","97178415","L"
"Mayor's Office","1700 3rd ave N., Nashville, Tennessee, 37208","Match","Exact","1700 3rd Ave N, NASHVILLE, TN, 37208","-86.79007,36.183376","97185550","R"
"Art History Class and Lounge ","1305 Jefferson St., Nashville, Tennessee, 37208","Match","Exact","1305 Jefferson St, NASHVILLE, TN, 37208","-86.80047,36.171005","606370240","L"
"Henderson Financial ","5409 Maryland Way #300 , Brentwood, Tennessee, 37027","Match","Exact","5409 Maryland Way, BRENTWOOD, TN, 37027","-86.81496,36.036816","607918393","L"
"Ray of Hope Communtiy Church ","901 Meridian St, Nashville, Tennessee, 37207","Match","Exact","901 Meridian St, NASHVILLE, TN, 37207","-86.76803,36.187023","97187646","R"
"Nashville General Assembly ","320 6th Ave N # 7, Nashville, Tennessee, 37243","Match","Exact","320 6th Ave N, NASHVILLE, TN, 37243","-86.78189,36.163383","606407641","R"
